data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,12,171560646,0.010,1,15958408
2023,2,182124203,1.000,1,17411968
2023,2,171560666,0.010,1,15958428
2023,4,171560666,0.010,1,15958429
2023,1,171560597,0.010,1,15958381
2023,2,171560609,1.000,1,15958389
2023,2,171560636,1.000,1,15958403
2023,16,165258873,5.000,9,15041538
2023,2,171560682,1.000,1,15958443
2023,1,171560704,4.000,1,15958459
2023,5,182124214,14.200,1,17411971
2023,2,171560800,0.010,1,15958520
2023,1,176221167,0.010,1,16585025
2023,5,171560866,2.800,1,15958569
2023,2,171560772,2.820,1,15958500
2023,4,171560772,3.610,1,15958501
2023,12,169853730,0.010,1,15725600
2023,2,171560840,0.010,1,15958549
2023,4,171560930,1.000,1,15958598
2023,12,171560930,1.000,9,15958599
2023,5,171560945,1.000,1,15958606
2023,4,169853758,0.010,1,15725605
2023,12,171560783,0.010,1,15958507
2023,5,171560819,0.500,1,15958533
2023,4,171560852,0.010,1,15958558
2023,5,176220985,880.000,1,16584988
2023,11,176220985,1.500,1,16584989
2023,5,182124127,12.000,1,17411948
2023,8,182124127,1.000,9,17411949
2023,12,171560898,1.200,1,15958587
2023,2,171560925,0.500,1,15958594
2023,4,169854036,0.010,1,15725694
2023,15,169854036,20.000,9,15725695
2023,2,169853839,1.000,1,15725634
2023,4,169853987,0.010,1,15725673
2023,1,171560857,0.010,1,15958560
2023,8,171560857,0.010,1,15958561
2023,8,171560629,28.000,9,15958401
2023,5,176221036,1.000,1,16585000
2023,8,176221036,9.000,9,16585001
2023,12,171560651,2.000,1,15958411
2023,5,171560623,113.000,1,15958397
2023,2,171560655,0.010,1,15958416
2023,8,171560655,0.010,1,15958417
2023,1,171560678,0.700,1,15958441
2023,1,171560690,0.100,1,15958446
2023,2,171560690,0.300,1,15958447
2023,17,171560690,0.500,9,15958448
2023,4,171560638,0.010,1,15958404
2023,1,171560691,1.000,1,15958449
2023,5,165260232,0.010,1,15041646
2023,5,171560611,17.000,1,15958390
2023,8,171560622,0.010,1,15958396
2023,1,171560640,0.010,1,15958405
2023,2,171560640,0.010,1,15958406
2023,1,172862881,1.000,1,16145925
2023,4,171560659,0.300,1,15958420
2023,12,171560659,0.900,1,15958421
2023,5,169853759,2.700,1,15725606
2023,4,171560695,1.000,1,15958452
2023,5,169853776,3.000,9,15725612
2023,1,171560643,0.010,1,15958407
2023,2,171560665,0.100,1,15958427
2023,12,171560686,0.900,1,15958445
2023,2,171560734,13.000,1,15958476
2023,4,171560734,0.010,1,15958477
2023,11,169854341,7.000,1,15725792
2023,8,167895276,2.000,9,15426507
2023,2,171560648,0.010,1,15958409
2023,1,169854359,0.010,1,15725795
2023,2,169854359,1.000,1,15725796
2023,11,169854468,1.000,1,15725813
2023,4,182124186,0.200,1,17411962
2023,5,169853808,16.000,1,15725622
2023,8,169853823,1.000,9,15725624
2023,1,171560663,1.000,1,15958426
2023,2,169853959,0.010,1,15725669
2023,12,169853959,2.000,9,15725670
2023,1,176221260,1.000,1,16585044
2023,4,169854013,4.000,1,15725685
2023,17,169853798,0.010,1,15725620
2023,1,169853844,0.010,1,15725637
2023,2,169853844,0.200,1,15725638
2023,1,169853926,2.000,1,15725663
2023,2,171560698,1.000,1,15958455
2023,12,171560698,3.000,9,15958456
2023,1,169853948,0.010,1,15725666
2023,15,169853896,5.000,9,15725654
2023,16,169853896,66.000,9,15725655
2023,1,169853833,0.010,1,15725628
2023,4,169853833,0.010,1,15725629
2023,8,169853833,0.010,1,15725630
2023,5,169853850,0.010,1,15725639
2023,1,169853890,23.100,1,15725648
2023,13,169853890,3.500,9,15725649
2023,15,169854024,5.000,9,15725689
2023,4,169853891,2.000,1,15725651
2023,4,169853971,0.400,1,15725672
2023,15,171560657,1.000,9,15958419
2023,4,169854029,0.010,1,15725690
2023,8,169853910,1.000,1,15725661
2023,8,169854001,0.010,1,15725681
2023,12,171560674,1.000,1,15958438
2023,8,169854094,0.010,1,15725711
2023,5,166766896,36.500,1,15268869
2023,5,169854196,5.700,1,15725747
2023,1,169853900,0.390,1,15725659
2023,5,169853941,1.000,1,15725664
2023,5,166766881,0.010,1,15268865
2023,2,169853988,0.010,1,15725674
2023,5,182124142,7.600,1,17411953
2023,4,176221098,1.000,1,16585017
2023,8,166766906,0.100,1,15268871
2023,2,174354520,0.010,1,16346803
2023,4,171560671,0.500,1,15958436
2023,8,171560671,1.000,9,15958437
2023,1,169020052,0.010,1,15592757
2023,4,169020052,0.010,1,15592758
2023,12,172862915,3.000,1,16145940
2023,17,169854040,3.000,1,15725696
2023,5,169854066,0.010,1,15725702
2023,4,169854173,0.010,1,15725738
2023,12,169853943,0.010,1,15725665
2023,2,169854093,2.000,1,15725710
2023,5,165257665,1.000,7,15041399
2023,12,166766664,0.500,1,15268827
2023,8,166766679,1.250,1,15268828
2023,12,166766856,0.520,1,15268860
2023,17,176218733,3.300,1,16584579
2023,5,166766707,1.000,11,15268831
2023,17,176218556,12.510,1,16584537
2023,8,166766806,3.060,1,15268843
2023,17,166766806,2.000,9,15268844
2023,2,180941276,0.520,1,17236879
2023,12,180941276,0.480,1,17236880
2023,12,166766842,0.010,1,15268857
2023,12,167895573,1.880,1,15426562
2023,8,169020279,11.740,1,15592798
2023,11,167895594,4.000,9,15426569
2023,16,167895594,14.000,1,15426570
2023,5,166766826,1.000,9,15268851
2023,12,182123644,4.400,1,17411841
2023,4,167895640,0.500,1,15426576
2023,2,169020294,33.740,1,15592802
2023,8,169020215,13.700,1,15592777
2023,8,169020228,23.500,1,15592783
2023,12,167895374,2.000,1,15426518
2023,8,169020242,1.100,1,15592787
2023,8,169020486,23.040,1,15592845
2023,12,169857796,1.000,9,15726431
2023,17,169857796,3.000,9,15726432
2023,12,169020239,2.000,1,15592786
2023,8,169857592,21.090,1,15726411
2023,4,169020280,0.510,1,15592799
2023,17,169020295,1.000,11,15592801
2023,2,169020232,39.230,1,15592784
2023,12,169857287,4.700,1,15726356
2023,8,171562321,2.600,1,15958868
2023,8,169857317,3.840,1,15726363
2023,8,169857310,14.600,1,15726362
2023,4,169857323,0.110,1,15726364
2023,8,169857323,14.490,1,15726365
2023,8,169857337,26.960,1,15726370
2023,12,169857372,0.000,1,15726374
2023,13,169857372,0.000,9,15726375
2023,5,171562287,7.040,1,15958860
2023,8,171562315,28.480,1,15958867
2023,8,171562392,8.000,1,15958878
2023,8,171562380,2.810,1,15958875
2023,2,171562419,0.320,1,15958879
2023,4,171562479,2.820,1,15958882
2023,8,171562479,5.050,1,15958883
2023,12,171562266,1.200,1,15958852
2023,12,171562300,0.500,1,15958865
2023,2,171562334,0.100,1,15958869
2023,8,172863840,13.660,1,16146149
2023,8,172863891,5.050,1,16146152
2023,2,172863917,1.600,1,16146156
2023,8,172863958,8.690,1,16146161
2023,12,172863975,1.000,11,16146164
2023,17,172863975,1.000,11,16146165
2023,8,182123687,1.000,1,17411858
2023,17,182123687,3.450,1,17411859
2023,17,172863850,1.000,11,16146150
2023,8,174359694,0.290,1,16347559
2023,12,174359737,0.000,1,16347566
2023,8,174359784,34.220,1,16347573
2023,12,174359686,1.000,11,16347558
2023,12,174359764,0.500,1,16347569
2023,8,174359796,3.080,1,16347574
2023,4,176218712,5.700,1,16584571
2023,8,176218712,0.600,1,16584572
2023,12,176218712,5.200,1,16584573
2023,12,176218704,7.000,9,16584567
2023,12,176218558,2.000,1,16584538
2023,14,176218558,1.000,9,16584539
2023,17,176218558,4.000,9,16584540
2023,2,180941377,0.250,1,17236908
2023,5,180941377,206.000,1,17236909
2023,12,180941377,6.550,1,17236910
2023,12,176218658,0.050,1,16584559
2023,5,176218812,1.000,11,16584594
2023,8,177294050,1.950,1,16727974
2023,17,177294099,20.800,1,16727979
2023,8,180941448,0.890,1,17236921
2023,5,179040412,1.000,11,16970132
2023,13,179040431,0.080,1,16970135
2023,16,179040457,5.950,1,16970139
2023,8,179040427,9.150,1,16970134
2023,1,179040377,5.600,1,16970125
2023,12,179040377,9.700,1,16970126
2023,17,179040377,35.000,1,16970127
2023,5,179040420,1.000,7,16970133
2023,17,180941332,1.100,1,17236894
2023,1,182123803,0.200,1,17411884
2023,4,180979130,2.300,1,17242475
2023,16,179067025,1.000,11,16974904
2023,12,169885374,4.000,1,15729964
2023,12,171593524,0.000,1,15963761
2023,12,180979187,13.760,1,17242483
2023,17,180979187,3.730,1,17242484
2023,5,172900025,33.000,10,16151017
2023,5,172900049,12.000,10,16151019
2023,12,174396678,11.230,1,16351888
2023,12,179067117,0.890,1,16974924
2023,4,176259262,0.200,1,16590660
2023,8,176259262,1.000,11,16590661
2023,17,176259262,2.020,1,16590662
2023,12,182154748,0.700,1,17417141
2023,17,182154748,0.100,1,17417142
2023,15,179067281,2.000,9,16974954
2023,12,179067307,0.100,1,16974958
2023,17,179067307,0.200,1,16974959
2023,12,180979112,1.500,1,17242474
2023,12,180979042,2.400,1,17242466
2023,12,172900262,0.100,1,16151033
2023,12,180979080,19.000,1,17242471
2023,12,172900316,0.930,1,16151038
2023,5,165252705,0.010,1,15040502
2023,11,180939565,2.000,1,17236480
2023,12,169852247,11.000,1,15725334
2023,12,177289505,1.000,1,16727206
2023,12,176217898,1.000,1,16584410
2023,12,177289445,1.000,9,16727195
2023,5,167914785,4.000,4,15429380
2023,8,169854133,28.000,1,15725723
2023,5,166767018,3.500,1,15268891
2023,17,169854186,1.000,9,15725740
2023,8,169853993,5.000,9,15725676
2023,15,169853993,73.000,9,15725677
2023,16,169853993,12.000,9,15725678
2023,8,169853994,0.600,9,15725679
2023,8,169853994,3.200,1,15725680
2023,2,176221192,0.100,1,16585028
2023,4,176221192,0.500,1,16585029
2023,17,176221192,0.010,1,16585030
2023,5,169853970,0.010,1,15725671
2023,2,169854059,0.010,1,15725700
2023,5,166767370,0.010,1,15268935
2023,5,169854128,1.000,1,15725722
2023,5,169854071,10.000,1,15725703
2023,5,169854095,6.000,1,15725712
2023,11,169854095,50.000,1,15725713
2023,2,169854072,1.000,1,15725704
2023,8,169854188,1.000,9,15725744
2023,16,169854188,1.000,9,15725745
2023,2,172863007,0.010,1,16145968
2023,1,171560667,0.100,1,15958430
2023,2,169020013,1.000,1,15592749
2023,17,177291809,1.000,9,16727623
2023,2,171560696,0.010,1,15958453
2023,8,171560696,0.010,1,15958454
2023,8,169854210,1.000,9,15725748
2023,2,172862904,0.010,1,16145938
2023,1,169854402,0.010,1,15725805
2023,8,171560675,2.000,9,15958439
2023,12,171560675,0.100,9,15958440
2023,1,169854169,1.000,1,15725734
2023,4,169854169,1.000,1,15725735
2023,1,169854187,0.010,1,15725741
2023,2,169854187,3.700,1,15725742
2023,4,169854187,0.250,1,15725743
2023,2,169854247,20.300,1,15725754
2023,11,169854247,70.000,9,15725755
2023,2,169854112,0.010,1,15725717
2023,1,169854302,0.010,1,15725779
2023,5,169854121,0.010,1,15725720
2023,2,169854135,1.000,1,15725725
2023,2,169854221,1.000,1,15725752
2023,1,169854263,0.010,1,15725764
2023,8,169854153,3.000,9,15725728
2023,12,169854153,1.000,9,15725729
2023,11,171560732,1.000,1,15958472
2023,12,171560732,1.000,9,15958473
2023,5,171560670,951.000,1,15958433
2023,8,171560670,0.010,1,15958434
2023,5,166767908,0.200,1,15268994
2023,5,169854282,5.000,1,15725773
2023,2,174354722,0.700,1,16346835
2023,2,169854146,215.000,1,15725726
2023,5,166767952,12.000,1,15268997
2023,4,169854277,0.010,1,15725771
2023,5,169854293,1.000,1,15725776
2023,5,177291766,2265.000,1,16727604
2023,5,169020118,56.000,1,15592768
2023,5,169854087,7541.000,1,15725708
2023,11,169854087,16.500,1,15725709
2023,1,171560693,1.000,1,15958450
2023,4,171560693,1.000,1,15958451
2023,5,166768263,0.010,1,15269024
2023,2,169854170,2.000,1,15725736
2023,12,169854170,2.000,1,15725737
2023,2,169854189,0.010,1,15725746
2023,2,169854250,0.010,1,15725756
2023,4,169854250,0.010,1,15725757
2023,11,169854250,0.010,1,15725758
2023,4,169854271,0.010,1,15725767
2023,2,169854382,0.010,1,15725800
2023,4,169854382,0.010,1,15725801
2023,8,169854382,0.010,1,15725802
2023,2,171560716,0.010,1,15958463
2023,1,169854184,3.500,1,15725739
2023,4,169854376,30.000,1,15725798
2023,2,169854437,0.010,1,15725810
2023,2,171560737,0.010,1,15958478
2023,4,171560737,0.010,1,15958479
2023,12,169020041,0.010,1,15592755
2023,5,174354556,1.000,1,16346809
2023,1,169854303,1.000,1,15725780
2023,4,169854240,1.000,1,15725753
2023,4,171560707,6.000,1,15958461
2023,1,177291870,0.010,1,16727640
2023,4,177291870,0.010,1,16727641
2023,1,171560749,7.000,1,15958483
2023,8,171560749,0.800,1,15958484
2023,4,171560700,0.010,1,15958457
2023,8,169854156,1.000,9,15725731
2023,5,169854276,0.250,1,15725770
2023,2,171560849,0.010,1,15958555
2023,16,171560849,19.000,9,15958556
2023,1,169854325,0.010,1,15725785
